NAME	FASTQ	INPUT	SPIKE	AB	USER	GENOME	RUN
Pcgf35KO-H2Ubq-rep2	/hpcnfs/scratch/DP/dfernand/Ascefalo/data_GEOsubmission/Fastq/Rep2/H2AK119Ub1_rep2_Pcgf35KO.fastq.gz	E14	TRUE	X	ascelfo	mm9	X
Pcgf1KO-H2Ubq-rep2	/hpcnfs/scratch/DP/dfernand/Ascefalo/data_GEOsubmission/Fastq/Rep2/H2AK119Ub1_rep2_Pcgf1KO.fastq.gz	E14	TRUE	X	ascelfo	mm9	X
Pcgf24KO-H2Ubq-rep2	/hpcnfs/scratch/DP/dfernand/Ascefalo/data_GEOsubmission/Fastq/Rep2/H2AK119Ub1_rep2_Pcgf24KO.fastq.gz	E14	TRUE	X	ascelfo	mm9	X
Pcgf35KO-H2Ubq-rep1	/hpcnfs/scratch/DP/dfernand/Ascefalo/data_GEOsubmission/labpasini/H2AK119Ub1_Pcgf35KO.fastq.gz	E14	TRUE	X	ascelfo	mm9	X
Pcgf24KO-H2Ubq-rep1	/hpcnfs/scratch/DP/dfernand/Ascefalo/data_GEOsubmission/labpasini/H2AK119Ub1_Pcgf24KO.fastq.gz	E14	TRUE	X	ascelfo	mm9	X
Pcgf1KO-H2Ubq-rep1	/hpcnfs/scratch/DP/dfernand/Ascefalo/data_GEOsubmission/labpasini/H2AK119Ub1_Pcgf1KO.fastq.gz	E14	TRUE	X	ascelfo	mm9	X
Pcgf35KO-K27me3-rep2	/hpcnfs/scratch/DP/dfernand/Ascefalo/data_GEOsubmission/Fastq/Rep2/H3K27m3_rep2_Pcgf35KO.fastq.gz	E14	TRUE	X	ascelfo	mm9	X
Pcgf1KO-K27me3-rep2	/hpcnfs/scratch/DP/dfernand/Ascefalo/data_GEOsubmission/Fastq/Rep2/H3K27m3_rep2_Pcgf1KO.fastq.gz	E14	TRUE	X	ascelfo	mm9	X
Pcgf24KO-K27me3-rep2	/hpcnfs/scratch/DP/dfernand/Ascefalo/data_GEOsubmission/Fastq/Rep2/H3K27m3_rep2_Pcgf24KO.fastq.gz	E14	TRUE	X	ascelfo	mm9	X
Pcgf35KO-K27me3-rep1	/hpcnfs/scratch/DP/dfernand/Ascefalo/data_GEOsubmission/labpasini/H3K27m3_Pcgf35KO.fastq.gz	E14	TRUE	X	ascelfo	mm9	X
Pcgf24KO-K27me3-rep1	/hpcnfs/scratch/DP/dfernand/Ascefalo/data_GEOsubmission/labpasini/H3K27m3_Pcgf24KO.fastq.gz	E14	TRUE	X	ascelfo	mm9	X
Pcgf1KO-K27me3-rep1	/hpcnfs/scratch/DP/dfernand/Ascefalo/data_GEOsubmission/labpasini/H3K27m3_Pcgf1KO.fastq.gz	E14	TRUE	X	ascelfo	mm9	X
E14-K27me3	/hpcnfs/scratch/DP/dfernand/Ascefalo/data_GEOsubmission/labpasini/H3K27m3_E14.fastq.gz	E14	TRUE	X	ascelfo	mm9	X
E14-H2Ubq	/hpcnfs/scratch/DP/dfernand/Ascefalo/data_GEOsubmission/labpasini/H2AK119Ub1_E14.fastq.gz	E14	TRUE	X	ascelfo	mm9	X
