sample	lane	fq1	fq2
E14-input	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/econway/FASTQ/190607_A00302_0076_BHH7TTDMXX/Sample_S22543_WT_Input/S22543_WT_Input_S43_L001_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/econway/FASTQ/190607_A00302_0076_BHH7TTDMXX/Sample_S22543_WT_Input/S22543_WT_Input_S43_L001_R2_001.fastq.gz
WT-E14-H2AK119Ub	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/econway/FASTQ/190510_A00302_0072_AHHHTGDMXX/Sample_S21977_WT_H2Aub/S21977_WT_H2Aub_S10_L002_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/econway/FASTQ/190510_A00302_0072_AHHHTGDMXX/Sample_S21977_WT_H2Aub/S21977_WT_H2Aub_S10_L002_R2_001.fastq.gz
WT-E14-H2AK119Ub	lane2	/hpcnfs/techunits/genomics/PublicData/Pasini/econway/FASTQ/190607_A00302_0076_BHH7TTDMXX/Sample_S22540_WT_H2Aub/S22540_WT_H2Aub_S40_L001_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/econway/FASTQ/190607_A00302_0076_BHH7TTDMXX/Sample_S22540_WT_H2Aub/S22540_WT_H2Aub_S40_L001_R2_001.fastq.gz
Bap1KOcA9-E14-H2AK119Ub	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/econway/FASTQ/190510_A00302_0072_AHHHTGDMXX/Sample_S21978_Bap1_KO_cA9_H2Aub/S21978_Bap1_KO_cA9_H2Aub_S11_L002_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/econway/FASTQ/190510_A00302_0072_AHHHTGDMXX/Sample_S21978_Bap1_KO_cA9_H2Aub/S21978_Bap1_KO_cA9_H2Aub_S11_L002_R2_001.fastq.gz
Bap1KOcA9-E14-H2AK119Ub	lane2	/hpcnfs/techunits/genomics/PublicData/Pasini/econway/FASTQ/190607_A00302_0076_BHH7TTDMXX/Sample_S22541_Bap1_KO_cA9_H2Aub/S22541_Bap1_KO_cA9_H2Aub_S41_L001_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/econway/FASTQ/190607_A00302_0076_BHH7TTDMXX/Sample_S22541_Bap1_KO_cA9_H2Aub/S22541_Bap1_KO_cA9_H2Aub_S41_L001_R2_001.fastq.gz
Bap1KOcB7-E14-H2AK119Ub	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/econway/FASTQ/190510_A00302_0072_AHHHTGDMXX/Sample_S21979_Bap1_KO_cB17_H2Aub/S21979_Bap1_KO_cB17_H2Aub_S12_L002_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/econway/FASTQ/190510_A00302_0072_AHHHTGDMXX/Sample_S21979_Bap1_KO_cB17_H2Aub/S21979_Bap1_KO_cB17_H2Aub_S12_L002_R2_001.fastq.gz
Bap1KOcB7-E14-H2AK119Ub	lane2	/hpcnfs/techunits/genomics/PublicData/Pasini/econway/FASTQ/190607_A00302_0076_BHH7TTDMXX/Sample_S22542_Bap1_KO_cB17_H2Aub/S22542_Bap1_KO_cB17_H2Aub_S42_L001_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/econway/FASTQ/190607_A00302_0076_BHH7TTDMXX/Sample_S22542_Bap1_KO_cB17_H2Aub/S22542_Bap1_KO_cB17_H2Aub_S42_L001_R2_001.fastq.gz
WT-E14-Ring1b	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/econway/FASTQ/190510_A00302_0072_AHHHTGDMXX/Sample_S21980_WT_RING1B/S21980_WT_RING1B_S13_L002_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/econway/FASTQ/190510_A00302_0072_AHHHTGDMXX/Sample_S21980_WT_RING1B/S21980_WT_RING1B_S13_L002_R2_001.fastq.gz
Bap1KOcA9-E14-Ring1b	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/econway/FASTQ/190510_A00302_0072_AHHHTGDMXX/Sample_S21981_Bap1_KO_cA9_RING1B/S21981_Bap1_KO_cA9_RING1B_S14_L002_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/econway/FASTQ/190510_A00302_0072_AHHHTGDMXX/Sample_S21981_Bap1_KO_cA9_RING1B/S21981_Bap1_KO_cA9_RING1B_S14_L002_R2_001.fastq.gz
Bap1KOcB7-E14-Ring1b	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/econway/FASTQ/190510_A00302_0072_AHHHTGDMXX/Sample_S21982_Bap1_KO_cB17_RING1B/S21982_Bap1_KO_cB17_RING1B_S15_L002_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/econway/FASTQ/190510_A00302_0072_AHHHTGDMXX/Sample_S21982_Bap1_KO_cB17_RING1B/S21982_Bap1_KO_cB17_RING1B_S15_L002_R2_001.fastq.gz
